dataset,model,k_features,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
Doppler,Complex Tree,20,0.7264492753623188,0.7714285714285715,0.5833333333333334,0.8695652173913043,0.7,0.6363636363636364,20,3,5,7,3
Doppler,Complex Tree,20,0.6612318840579711,0.6857142857142857,0.5833333333333334,0.7391304347826086,0.5384615384615384,0.56,17,6,5,7,4
Doppler,Linear Discriminant Analysis,20,0.861111111111111,0.8333333333333334,0.5833333333333334,0.9583333333333334,0.875,0.7,23,1,5,7,0
Doppler,Linear Discriminant Analysis,20,0.6701388888888888,0.6666666666666666,0.5,0.75,0.5,0.5,18,6,6,6,1
Doppler,Linear Discriminant Analysis,20,0.6944444444444444,0.6666666666666666,0.5,0.75,0.5,0.5,18,6,6,6,2
Doppler,Linear Discriminant Analysis,20,0.9057971014492754,0.8571428571428571,0.75,0.9130434782608695,0.8181818181818182,0.782608695652174,21,2,3,9,3
Doppler,Linear Discriminant Analysis,20,0.7898550724637681,0.8,0.5833333333333334,0.9130434782608695,0.7777777777777778,0.6666666666666666,21,2,5,7,4
Doppler,Quadratic Discriminant Analysis,20,0.9027777777777778,0.8611111111111112,0.9166666666666666,0.8333333333333334,0.7333333333333333,0.8148148148148148,20,4,1,11,0
Doppler,Quadratic Discriminant Analysis,20,0.7048611111111112,0.6944444444444444,0.75,0.6666666666666666,0.5294117647058824,0.6206896551724138,16,8,3,9,1
Doppler,Quadratic Discriminant Analysis,20,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,16,8,4,8,2
Doppler,Quadratic Discriminant Analysis,20,0.9130434782608696,0.7428571428571429,0.8333333333333334,0.6956521739130435,0.5882352941176471,0.6896551724137931,16,7,2,10,3
Doppler,Quadratic Discriminant Analysis,20,0.7427536231884058,0.6857142857142857,0.75,0.6521739130434783,0.5294117647058824,0.6206896551724138,15,8,3,9,4
Doppler,Logistic Regression,20,0.8819444444444444,0.8055555555555556,0.5,0.9583333333333334,0.8571428571428571,0.631578947368421,23,1,6,6,0
Doppler,Logistic Regression,20,0.6944444444444445,0.6388888888888888,0.5833333333333334,0.6666666666666666,0.4666666666666667,0.5185185185185185,16,8,5,7,1
Doppler,Logistic Regression,20,0.75,0.7222222222222222,0.5833333333333334,0.7916666666666666,0.5833333333333334,0.5833333333333334,19,5,5,7,2
Doppler,Logistic Regression,20,0.9130434782608696,0.8571428571428571,0.75,0.9130434782608695,0.8181818181818182,0.782608695652174,21,2,3,9,3
Doppler,Logistic Regression,20,0.7971014492753623,0.8,0.5833333333333334,0.9130434782608695,0.7777777777777778,0.6666666666666666,21,2,5,7,4
Doppler,Linear SVM,20,0.8958333333333334,0.7777777777777778,0.4166666666666667,0.9583333333333334,0.8333333333333334,0.5555555555555556,23,1,7,5,0
Doppler,Linear SVM,20,0.6701388888888888,0.6666666666666666,0.5833333333333334,0.7083333333333334,0.5,0.5384615384615384,17,7,5,7,1
Doppler,Linear SVM,20,0.7361111111111112,0.75,0.5833333333333334,0.8333333333333334,0.6363636363636364,0.6086956521739131,20,4,5,7,2
Doppler,Linear SVM,20,0.9130434782608696,0.7714285714285715,0.3333333333333333,1.0,1.0,0.5,23,0,8,4,3
