k,dataset,model,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std
10,BW,Logistic Regression,0.7054045893719806,0.08382675718383992,0.6744444444444444,0.05373760235419449,0.31666666666666665,0.11055415967851333,0.8565217391304347,0.04111001832139233,0.518888888888889,0.1296198678972136,0.39061772077251955,0.1221354409615106
10,BW,Linear SVM,0.702657004830918,0.09629614903262669,0.6857142857142857,0.045883724789453344,0.26666666666666666,0.06236095644623236,0.8992753623188406,0.07206958002256766,0.6183333333333333,0.15867506980549206,0.36245098039215684,0.07257524698154952
10,BW,Quadratic SVM,0.5260869565217392,0.11327677543540018,0.674126984126984,0.02840161174139054,0.13333333333333336,0.1,0.95,0.06123724356957944,0.5357142857142858,0.33502969713024494,0.19749855407750144,0.1337134246773991
10,BW,Cubic SVM,0.7018115942028985,0.10888647367107428,0.6853968253968253,0.03235370780400867,0.2,0.06666666666666667,0.9326086956521739,0.049644292376822774,0.619047619047619,0.1319228112113816,0.295062656641604,0.08623503852166173
10,BW,Fine Gaussian SVM,0.5194444444444445,0.19151880641517524,0.6353968253968254,0.05789539746055071,0.05,0.06666666666666667,0.9333333333333332,0.08579691784155835,0.23333333333333334,0.38873012632302,0.07936507936507936,0.11178931340735879
10,BW,Medium Gaussian SVM,0.7399154589371981,0.08473318619854267,0.6855555555555556,0.04320668742505507,0.2833333333333333,0.08498365855987976,0.8909420289855072,0.06698882463141778,0.6007936507936507,0.1368121379794698,0.37294486215538847,0.08735305210803881
10,BW,Coarse Gaussian SVM,0.7191123188405797,0.05311878552691831,0.6687301587301586,0.024934279956646294,0.19999999999999998,0.1130388330520878,0.9072463768115941,0.06631919529650752,0.4357142857142858,0.24369603013188545,0.2681578947368421,0.14373914507974106
10,BW,Fine KNN,0.6235507246376811,0.08611572678376408,0.6471428571428571,0.09597807761785998,0.55,0.06666666666666668,0.6971014492753623,0.1218889261293226,0.5015196078431373,0.13407059001323704,0.5196119971982041,0.09570898804491079
10,BW,Medium KNN,0.738677536231884,0.06846174112630693,0.6801587301587302,0.05226056391477563,0.5166666666666667,0.06236095644623237,0.7634057971014493,0.09210028049749287,0.5390196078431373,0.07364409357349852,0.5223092998955068,0.04680071025800218
10,BW,Coarse KNN,0.722025966183575,0.06219054818296071,0.6628571428571428,0.004665694748158418,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,BW,Cosine KNN,0.7356582125603864,0.07521855820475001,0.7028571428571428,0.0819247545428334,0.6,0.08164965809277258,0.7557971014492753,0.13106430212588563,0.5776223776223776,0.10668312911905377,0.5805691699604744,0.07478171288602671
10,BW,Weighted KNN,0.7507246376811594,0.07635907172359123,0.6746031746031746,0.04207097866888435,0.4166666666666667,0.052704627669472995,0.8061594202898551,0.0754284826616535,0.5357142857142858,0.08502626570900455,0.4637362637362637,0.04391634348791487
10,BW,Boosted Trees,0.6772041062801932,0.08827142117738636,0.6517460317460317,0.041029213025496336,0.39999999999999997,0.12247448713915893,0.7807971014492754,0.05844462333747596,0.48041958041958044,0.0753146051454419,0.4289336384439359,0.09129180255973433
10,BW,Bagged Trees,0.6973731884057971,0.09547211020876599,0.652063492063492,0.06044389422185207,0.45,0.10000000000000002,0.7554347826086957,0.09786633632541525,0.49508021390374335,0.09618678388861657,0.4642987597110536,0.07901076329918662
10,BW,Subspace Discriminant,0.7304347826086957,0.07524192149083136,0.6855555555555555,0.05930733121973333,0.33333333333333337,0.11785113019775792,0.8648550724637681,0.039766040212866303,0.5442857142857143,0.14074510177434021,0.41126934984520125,0.1318607217850654
10,BW,Subspace KNN,0.7464070048309178,0.0584544805753178,0.7023809523809523,0.02051859765150335,0.3833333333333333,0.06666666666666668,0.8652173913043478,0.054547940756638574,0.6087734487734486,0.09612315152747378,0.4621246210154542,0.03793991938398115
