dataset,model,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
Doppler,Fine KNN,0.7766798418972332,0.7941176470588235,0.7272727272727273,0.8260869565217391,0.6666666666666666,0.6956521739130435,19,4,3,8,3
Doppler,Fine KNN,0.6877470355731224,0.7058823529411765,0.6363636363636364,0.7391304347826086,0.5384615384615384,0.5833333333333334,17,6,4,7,4
Doppler,Medium KNN,0.7373188405797102,0.6857142857142857,0.5,0.782608695652174,0.5454545454545454,0.5217391304347826,18,5,6,6,0
Doppler,Medium KNN,0.8162055335968379,0.7058823529411765,0.6363636363636364,0.7391304347826086,0.5384615384615384,0.5833333333333334,17,6,4,7,1
Doppler,Medium KNN,0.6818181818181818,0.6764705882352942,0.5454545454545454,0.7391304347826086,0.5,0.5217391304347826,17,6,5,6,2
Doppler,Medium KNN,0.8636363636363638,0.7352941176470589,0.7272727272727273,0.7391304347826086,0.5714285714285714,0.64,17,6,3,8,3
Doppler,Medium KNN,0.8339920948616601,0.7352941176470589,0.7272727272727273,0.7391304347826086,0.5714285714285714,0.64,17,6,3,8,4
Doppler,Coarse KNN,0.7264492753623188,0.6571428571428571,0.0,1.0,0.0,0.0,23,0,12,0,0
Doppler,Coarse KNN,0.8181818181818182,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,1
Doppler,Coarse KNN,0.717391304347826,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,2
Doppler,Coarse KNN,0.901185770750988,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,3
Doppler,Coarse KNN,0.9110671936758893,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,4
Doppler,Cosine KNN,0.7282608695652174,0.7714285714285715,0.5833333333333334,0.8695652173913043,0.7,0.6363636363636364,20,3,5,7,0
Doppler,Cosine KNN,0.8122529644268774,0.7058823529411765,0.5454545454545454,0.782608695652174,0.5454545454545454,0.5454545454545454,18,5,5,6,1
Doppler,Cosine KNN,0.7114624505928854,0.6470588235294118,0.5454545454545454,0.6956521739130435,0.46153846153846156,0.5,16,7,5,6,2
Doppler,Cosine KNN,0.8577075098814229,0.8235294117647058,0.7272727272727273,0.8695652173913043,0.7272727272727273,0.7272727272727273,20,3,3,8,3
Doppler,Cosine KNN,0.8300395256916996,0.7647058823529411,0.7272727272727273,0.782608695652174,0.6153846153846154,0.6666666666666666,18,5,3,8,4
Doppler,Weighted KNN,0.7246376811594203,0.6857142857142857,0.5,0.782608695652174,0.5454545454545454,0.5217391304347826,18,5,6,6,0
Doppler,Weighted KNN,0.8221343873517787,0.7058823529411765,0.5454545454545454,0.782608695652174,0.5454545454545454,0.5454545454545454,18,5,5,6,1
Doppler,Weighted KNN,0.7430830039525691,0.6764705882352942,0.45454545454545453,0.782608695652174,0.5,0.47619047619047616,18,5,6,5,2
Doppler,Weighted KNN,0.8893280632411068,0.7352941176470589,0.7272727272727273,0.7391304347826086,0.5714285714285714,0.64,17,6,3,8,3
Doppler,Weighted KNN,0.849802371541502,0.7941176470588235,0.6363636363636364,0.8695652173913043,0.7,0.6666666666666666,20,3,4,7,4
Doppler,Boosted Trees,0.644927536231884,0.6571428571428571,0.4166666666666667,0.782608695652174,0.5,0.45454545454545453,18,5,7,5,0
Doppler,Boosted Trees,0.8300395256916997,0.7058823529411765,0.7272727272727273,0.6956521739130435,0.5333333333333333,0.6153846153846154,16,7,3,8,1
Doppler,Boosted Trees,0.5494071146245059,0.6470588235294118,0.45454545454545453,0.7391304347826086,0.45454545454545453,0.45454545454545453,17,6,6,5,2
Doppler,Boosted Trees,0.8181818181818182,0.7941176470588235,0.6363636363636364,0.8695652173913043,0.7,0.6666666666666666,20,3,4,7,3
Doppler,Boosted Trees,0.6442687747035573,0.5588235294117647,0.45454545454545453,0.6086956521739131,0.35714285714285715,0.4,14,9,6,5,4
Doppler,Bagged Trees,0.6485507246376812,0.6857142857142857,0.4166666666666667,0.8260869565217391,0.5555555555555556,0.47619047619047616,19,4,7,5,0
Doppler,Bagged Trees,0.8241106719367589,0.7647058823529411,0.7272727272727273,0.782608695652174,0.6153846153846154,0.6666666666666666,18,5,3,8,1
Doppler,Bagged Trees,0.575098814229249,0.6470588235294118,0.36363636363636365,0.782608695652174,0.4444444444444444,0.4,18,5,7,4,2
